nama_lokasi,latitude,longitude
AR-001,-3.6832,103.6865
AR-002,-3.68312,103.6852
AR-003,-3.68169,103.6865
AR-004,-3.68385,103.6857
AR-005,-3.68274,103.6841
AR-006,-3.68288,103.6829
AR-007,-3.68387,103.6854
AR-008,-3.68368,103.686
AR-009,-3.6838,103.6843
AR-010,-3.68359,103.6833
AR-011,-3.68332,103.6868
AR-012,-3.68342,103.686
AR-013,-3.68344,103.6849
AR-014,-3.68342,103.6838
AR-015,-3.68278,103.6859
AR-016,-3.68389,103.6843
AR-017,-3.68241,103.6848
AR-019,-3.68241,103.6848
AR-020,-3.68257,103.6867
AR-021,-3.68175,103.6838
AR-022,-3.68106,103.6824
AR-023,-3.68096,103.6833
AR-024,-3.6819,103.6856
AR-025,-3.68169,103.6848
AR-026,-3.6829,103.6875
AR-027,-3.68364,103.6841
AR-028,-3.6826,103.6854
AR-029,-3.68288,103.6848
AR-030,-3.68303,103.6859
AR-031,-3.68266,103.6855
AR-032,-3.68344,103.6858
AR-033,-3.68304,103.6854
AR-034,-3.68178,103.6829
AR-035,-3.68216,103.6842
AR-036,-3.68227,103.6834
AR-037,-3.68231,103.686
AR-038,-3.68293,103.6857
AR-039,-3.68319,103.685
AR-040,-3.68262,103.6846
AR-041,-3.68228,103.6852
AR-042,-3.68252,103.6838
AR-043,-3.68224,103.6843
AR-044,-3.68265,103.6822
AR-045,-3.68146,103.6843
AR-046,-3.68151,103.6875
AR-047,-3.68252,103.6828
AR-048,-3.68224,103.6834
AR-049,-3.68195,103.6831
AR-050,-3.68151,103.6819
AR-051,-3.68206,103.6849
AR-052,-3.68183,103.6813
AR-053,-3.6824,103.6814
AR-054,-3.68156,103.6777
AR-055,-3.68179,103.6802
AR-056,-3.68204,103.6824
AR-057,-3.68225,103.6818
AR-058,-3.68132,103.6805
AR-059,-3.68041,103.6782
AR-060,-3.68185,103.6759
AR-061,-3.68219,103.6808
AR-062,-3.68258,103.6802
AR-063,-3.68125,103.6797
AR-064,-3.68177,103.6787
AR-065,-3.68143,103.677
AR-066,-3.68104,103.6761
AR-067,-3.68086,103.6772
AR-068,-3.68108,103.6781
AR-069,-3.68184,103.6796
AR-070,-3.68203,103.6738
AR-071,-3.68377,103.6785
AR-072,-3.68144,103.677
AR-073,-3.68823,103.6595
AR-074,-3.68163,103.6811
AR-075,-3.68149,103.6831
AR-076,-3.68163,103.6784
BEL-001,-3.44239,103.953
BEL-002,-3.45754,103.9668
BEL-003,-3.4395,103.933
BEL-004,-3.44757,103.95
BEL-005,-3.442,103.962
BEL-006,-3.44111,103.9441
BEL-007,-3.44764,103.9573
BEL-008,-3.45238,103.9626
BEL-009,-3.45225,103.9714
BEL-010,-3.46636,103.968
BEL-011,-3.44311,103.9686
BEL-012,-3.46079,103.9908
BEL-013,-3.43742,103.9574
BEL-014,-3.45591,103.9836
BEL-015,-3.43632,103.9389
BEL-016,-3.46527,103.9941
BEL-017,-3.45629,103.9954
BEL-018,-3.45837,103.9768
BEL-019,-3.46243,103.9818
BEL-020,-3.46329,103.9628
BEL-021,-3.44732,103.9756
BEL-022,-3.42774,103.9205
BEL-023,-3.42331,103.9133
BEL-024,-3.43986,103.9391
BEL-025,-3.42964,103.9051
BEL-026,-3.43118,103.9248
BEL-027,-3.45926,103.9856
BEL-028,-3.42475,103.9079
BEL-029,-3.42711,103.9257
BEL-030,-3.43353,103.9144
BEL-031,-3.45407,103.9627
BEL-032,-3.45121,103.9668
BEL-033,-3.44505,103.9521
BEL-034,-3.4274,103.9202
BEL-035,-3.43167,103.9193
BEL-036,-3.46176,103.9857
BEL-037,-3.43365,103.9146
BEL-038,-3.44116,103.9442
BEL-039,-3.45144,103.9531
BEL-040,-3.43478,103.9166
BEL-041,-3.45372,103.9839
BEL-042,-3.45373,103.984
BEL-043,-3.45996,103.9905
BEL-044,-3.42306,104.0019
BEL-045,-3.45373,103.9841
BEL-046,-3.46601,103.9829
BEL-047,-3.4415,103.9874
BEL-048,-3.4147,104.0356
BEL-049,-3.41464,104.0355
BEL-050,-3.43961,103.933
BEL-051,-3.44519,103.9529
BEL-052,-3.46002,103.997
BEL-K4,-3.43967,103.933
BEL-K5,-3.43986,103.9391
BEL-K6,-3.44056,103.9442
BOOSTER NIRU,-3.457962253536411,104.06766394510909
BS-001,-3.685,103.6965
BS-002,-3.68402,103.7002
BS-003,-3.68549,103.7011
BS-004,-3.68385,103.7011
BS-005,-3.68382,103.7025
BS-006,-3.68386,103.6909
BS-007,-3.68373,103.6985
BS-008,-3.68328,103.6958
BS-009,-3.6847,103.7038
BS-010,-3.68355,103.7149
BS-011,-3.68244,103.6968
BS-013,-3.68269,103.701
BS-014,-3.68385,103.6949
BS-015,-3.68468,103.7018
BS-016,-3.68445,103.6964
BS-018,-3.68469,103.7076
BS-019,-3.68463,103.6981
BS-020,-3.68496,103.6999
BS-021,-3.68404,103.6994
BS-022,-3.68445,103.6956
BS-023,-3.68327,103.6968
BS-024,-3.68439,103.6973
BS-025,-3.6849,103.6945
BS-026,-3.68415,103.694
BS-027,-3.68334,103.6942
BS-028,-3.68298,103.6949
BS-029,-3.68379,103.6961
BS-030,-3.68391,103.6975
BS-031,-3.68342,103.6932
BS-032,-3.68246,103.6912
BS-033,-3.68438,103.6929
BS-034,-3.68434,103.692
BS-035,-3.68369,103.6899
BS-036,-3.68401,103.691
BS-037,-3.68439,103.6889
BS-038,-3.6847,103.6899
BS-039,-3.68499,103.6909
BS-040,-3.6838,103.7076
BS-041,-3.68342,103.6976
BS-042,-3.68486,103.691
BS-043,-3.68467,103.6908
BS-044,-3.68353,103.6907
BS-045,-3.68385,103.6926
BS-046,-3.68354,103.6933
BS-047,-3.68441,103.6916
BS-048,-3.68249,103.7077
BS-050,-3.68419,103.7032
BS-051,-3.68442,103.6947
BS-053,-3.68373,103.6891
BS-054,-3.68291,103.6905
BS-055,-3.68397,103.6884
BS-056,-3.68425,103.6874
BS-058,-3.68436,103.6925
BS-060,-3.68401,103.6895
BS-061,-3.68372,103.691
BS-062,-3.68379,103.6955
BS-063,-3.68465,103.699
BS-064,-3.68469,103.7007
BS-065,-3.68473,103.7025
BS-066,-3.6825,103.7
BS-067,-3.68088,103.7
BS-068,-3.68388,103.691
BS-069,-3.68323,103.691
BS-070,-3.68382,103.6951
BS-071,-3.68384,103.6942
BS-072,-3.68387,103.6936
BS-073,-3.68362,103.6905
BS-074,-3.68404,103.6926
BS-075,-3.68396,103.6945
BS-076,-3.68415,103.6909
BS-077,-3.68353,103.6917
BS-078,-3.68389,103.6907
BS-079,-3.6843,103.6923
BS-080,-3.68412,103.6937
BS-081,-3.68387,103.69
BS-082,-3.684,103.6892
BS-083,-3.68429,103.6891
BS-084,-3.68395,103.6896
BS-085,-3.6835,103.6894
BS-086,-3.68427,103.6896
BS-087,-3.68394,103.6887
BS-088,-3.68458,103.6903
BS-089,-3.68418,103.6884
BS-090,-3.68386,103.6883
BS-091,-3.68429,103.6901
BS-092,-3.68368,103.6891
BS-093,-3.68441,103.6883
BS-094,-3.68434,103.6879
BS-095,-3.68406,103.688
BS-096,-3.68388,103.6877
BS-097,-3.68393,103.6873
BS-098,-3.68386,103.6869
BS-099,-3.68422,103.687
BS-100,-3.6835,103.6868
BS-101,-3.68366,103.6875
BS-102,-3.68379,103.6865
BS-103,-3.68408,103.6904
BS-104,-3.68441,103.6906
BS-105,-3.68457,103.6897
BS-106,-3.68457,103.6891
BS-107,-3.6843,103.6887
BS-108,-3.68418,103.6875
BS-109,-3.68455,103.6875
BS-110,-3.68345,103.6963
BS-111,-3.68384,103.6979
BS-112,-3.6845,103.6909
BS-113,-3.68472,103.6907
BS-114,-3.68496,103.6904
BS-115,-3.68458,103.6888
BS-116,-3.68467,103.6894
BS-117,-3.68359,103.6888
BS-119,-3.6838,103.6932
EPF-TMB,-3.54994,104.3247
Fire Station,-3.47768,104.0826
KM-001,-3.68067,103.8775
KM-002,-3.68139,103.8779
KM-003,-3.68132,103.8771
KM-004,-3.68046,103.8765
KM-005,-3.68078,103.8726
KM-005A,-3.68084,103.8726
KM-005B,-3.68086,103.8726
KM-006,-3.68769,103.8731
KM-007,-3.67534,103.8736
KM-008,-3.67589,103.8679
KM-009,-3.67401,103.8638
KM-010,-3.68377,103.88
KM-011,-3.68078,103.8803
KM-012,-3.67794,103.8748
KM-013,-3.67794,103.8695
KM-014,-3.67811,103.8725
KM-015,-3.68306,103.8759
KM-016,-3.6828,103.879
KM-017,-3.68118,103.8788
KM-017J,-3.66642,103.8335
KM-018,-3.67878,103.8773
KM-019,-3.67818,103.8762
KM-020,-3.68225,103.8801
KM-021,-3.68027,103.8795
KM-022,-3.68165,103.8811
KM-023,-3.67992,103.8803
KM-024,-3.67968,103.8775
KM-025,-3.68026,103.8786
KM-026,-3.68386,103.8831
KM-027,-3.67914,103.8785
KM-028,-3.67905,103.8796
KM-029,-3.68189,103.878
